CID	CIDint	IDSURVEY	TYPE	FIELD	zHD	zHDERR	z	zERR	HOST_LOGMASS	HOST_LOGMASS_ERR	SNRMAX1	SNRMAX2	SNRMAX3	PKMJD	PKMJDERR	x1	x1ERR	c	cERR	mB	mBERR	x0	x0ERR	COV_x1_c	COV_x1_x0	COV_c_x0	NDOF	FITCHI2	FITPROB	RA	DECL	TGAPMAX	MU	MUERR	MUERR_NOSIGMB	MURES	MUPULL	sbar	cbar	ERRCODE
2004ef	2004	64	0	NULL	0.03002413548529148	0.00001	0.03097	0.00001	10.974	0.03	41.6755	38.4722	35.7053	53265.086	0.476	-1.77974	0.1941	0.106	0.0347364	16.7098419722	0.0483368	0.00382003887654	0.000178641	0.000293963	-7.61065e-6	-4.72357e-6	10	3.2522	0.987	340.541748	19.99441	19.99441	35.4292	0.0833	0.0833	-0.234	-2.807	-1.559	0.026	0
1990O	1990	50	0	NULL	0.0306	0.00001	0.0306	0.00001	11.269	3.318	36.1917	36.1908	36.1908	48076.871	0.417	0.5124	0.1813	-0.0500879	0.0330681	15.9971682787	0.065779	0.00736421611243	0.000463041	-0.000383357	1.52024e-6	-0.0000116953	11	4.0483	0.9825	258.908173	16.31698	10.7037	35.5214	0.0734	0.0734	-0.115	-1.566	0.632	-0.087	0
2007ux	2007	65	1	NULL	0.03065018355846405	0.00001	0.0307	0.00001	10.345	0.122	43.4783	42.5532	26.455	54465.805	0.309	-2.50437	0.1031	0.1732	0.0357183	17.230371477400002	0.0509393	0.00236513091428	0.000119025	-0.000416998	7.95e-8	-3.53052e-6	57	93.1936	0.00176045	152.333084	14.992519	14.992519	35.64	0.0759	0.0759	-0.005	-0.063	-2.502	0.171	64
2001ba	2001	50	0	NULL	0.03067	0.00001	0.02956	0.00001	11.461	3.105	72.3819	47.2047	-99	52034.816	0.138	0.1532	0.0915428	-0.178512	0.0407083	15.836016821	0.0491061	0.00854284862125	0.000359582	-0.000733844	2.19903e-6	-0.0000100563	54	70.5655	0.0645277	174.507462	-32.32893	3.9345	35.708	0.104	0.104	0.148	1.427	0.11	-0.125	0
1999cc	1999	62	0	NULL	0.03139328956604004	0.00001	0.03126	0.00001	11.142	0.368	120.6358	98.7019	98.7017	51315.914	0.133	-1.60679	0.0754	-0.0079726	0.0263703	16.5613791283	0.0312053	0.00437989714952	0.000129878	-0.000167239	5.05001e-7	-2.847e-6	47	34.1736	0.9187	240.675751	37.354771	37.354771	35.6583	0.0597	0.0597	-0.025	-0.427	-1.598	-0.019	0
2006en	2006	64	0	NULL	0.03148936480283737	0.00001	0.03194	0.00001	11.058	0.04	66.6795	62.5129	58.8471	53973.148	0.447	-0.439125	0.1055	0.0508406	0.0304449	16.601691064100002	0.0546958	0.00422009997808	0.000223467	-0.000625793	6.00024e-6	-5.50502e-6	29	58.5368	0.0013794	347.521057	30.22328	30.22328	35.6798	0.0613	0.0613	-0.053	-0.864	-0.412	0.029	64
2007bd	2007	64	0	NULL	0.03164249286055565	0.00001	0.032	0.00001	9.574	0.045	100	90.9292	90.8957	54206.516	0.059	-1.42078	0.0667814	-0.0297442	0.0269797	16.3136708379	0.034918	0.00520619972376	0.000173204	-0.000153937	-1.30095e-8	-3.79178e-6	30	29.1832	0.5597	127.889061	-1.19937	-1.19937	35.5642	0.0602	0.0602	-0.172	-2.852	-1.368	-0.101	0
2002hd	2002	63	0	NULL	0.031893376260995865	0.00001	0.03083	0.00001	10.678	4.064	71.4116	66.678	62.4845	52576.066	0.019	-0.807074	0.4211	0.011342	0.0277472	16.5609737664	0.0446735	0.00438155168169	0.000187408	0.00176892	-0.0000120529	-3.53619e-6	11	32.0545	0.00135724	133.514023	-7.1893	-7.1893	35.71	0.0831	0.0831	0.056	0.671	-0.988	0.022	64
2007aj	2007	65	1	NULL	0.03208862617611885	0.00001	0.031	0.00001	8.008	0.154	57.8036	53.7634	48.3093	54160.578	0.392	-0.401822	0.0951954	-0.0592102	0.0309032	16.260893260899998	0.046461	0.0054658008141	0.000240891	-0.000330373	-1.81675e-6	-6.14311e-6	39	34.689	0.7078	191.977173	54.010578	54.010578	35.7453	0.0668	0.0668	0.08	1.199	-0.449	-0.028	0
2007ob	2007	65	1	NULL	0.032178737223148346	0.00001	0.03393	0.00001	-1.	1.	33.0032	31.7461	27.4725	54402.391	0.941	-0.550115	0.2669	0.2359	0.0389992	17.0676151212	0.0842802	0.00267262719348	0.000225502	-0.000302297	5.53464e-6	-6.69814e-6	23	11.7821	0.9823	348.108276	13.913647	13.913647	35.5865	0.0847	0.0847	-0.279	-3.301	-0.211	0.156	0
